vértice,tempo_execução,solução,rota
10,35.99905967712402,12,"[0, 1, 9, 6, 8, 7, 2, 5, 3, 4]"
10,12.51220703125,7,"[0, 5, 9, 1, 3, 4, 2, 8, 7, 6]"
10,170.01605033874512,18,"[0, 9, 5, 8, 6, 1, 2, 4, 3, 7]"
10,80.00016212463379,14,"[0, 1, 5, 3, 6, 7, 4, 2, 8, 9]"
10,2.999544143676758,4,"[0, 8, 4, 1, 5, 3, 9, 6, 7, 2]"
10,158.00094604492188,17,"[0, 2, 9, 1, 3, 6, 8, 7, 5, 4]"
10,18.000364303588867,9,"[0, 8, 3, 5, 7, 2, 4, 1, 6, 9]"
10,55.99856376647949,14,"[0, 9, 7, 5, 8, 4, 1, 6, 2, 3]"
10,54.059743881225586,11,"[0, 2, 8, 4, 6, 1, 7, 5, 3, 9]"
10,36.99898719787598,10,"[0, 2, 1, 5, 7, 6, 4, 3, 8, 9]"
10,26.000022888183594,7,"[0, 2, 5, 4, 7, 8, 6, 1, 9, 3]"
10,88.00005912780762,15,"[0, 3, 5, 6, 7, 9, 8, 2, 4, 1]"
10,81.00008964538574,14,"[0, 5, 1, 6, 2, 9, 7, 3, 8, 4]"
10,38.00010681152344,12,"[0, 1, 4, 5, 2, 9, 3, 8, 6, 7]"
10,41.0003662109375,10,"[0, 4, 6, 5, 7, 3, 8, 1, 2, 9]"
10,32.00030326843262,11,"[0, 1, 5, 9, 4, 2, 3, 8, 7, 6]"
10,17.998695373535156,8,"[0, 4, 3, 7, 2, 6, 9, 8, 5, 1]"
10,80.00063896179199,13,"[0, 6, 2, 5, 4, 3, 1, 7, 8, 9]"
10,20.99919319152832,7,"[0, 9, 1, 6, 2, 7, 8, 4, 3, 5]"
10,32.99999237060547,11,"[0, 5, 7, 9, 2, 3, 6, 8, 4, 1]"
10,22.00031280517578,8,"[0, 6, 8, 9, 3, 2, 7, 4, 1, 5]"
10,25.999784469604492,10,"[0, 2, 1, 9, 5, 6, 4, 7, 3, 8]"
10,64.00012969970703,14,"[0, 2, 7, 8, 9, 4, 3, 6, 5, 1]"
10,49.00026321411133,11,"[0, 2, 4, 7, 1, 6, 8, 9, 5, 3]"
10,110.0001335144043,17,"[0, 1, 2, 3, 6, 7, 5, 8, 9, 4]"
10,9.998798370361328,7,"[0, 4, 5, 8, 9, 1, 3, 7, 6, 2]"
10,61.99979782104492,14,"[0, 2, 8, 9, 7, 4, 3, 6, 1, 5]"
10,82.0002555847168,13,"[0, 5, 7, 4, 2, 3, 6, 1, 9, 8]"
10,31.000137329101562,10,"[0, 2, 3, 9, 7, 1, 4, 8, 6, 5]"
10,6.000995635986328,6,"[0, 1, 4, 5, 9, 8, 7, 3, 6, 2]"
10,10.000467300415039,6,"[0, 5, 7, 1, 2, 8, 4, 6, 9, 3]"
10,23.000001907348633,9,"[0, 7, 1, 6, 9, 5, 4, 2, 3, 8]"
10,27.00042724609375,9,"[0, 8, 9, 6, 1, 7, 4, 5, 3, 2]"
10,75.00028610229492,14,"[0, 6, 8, 5, 9, 7, 2, 1, 3, 4]"
10,46.00024223327637,11,"[0, 5, 8, 4, 6, 2, 3, 7, 9, 1]"
10,92.00072288513184,14,"[0, 3, 8, 7, 5, 9, 4, 1, 6, 2]"
10,11.999845504760742,8,"[0, 8, 7, 2, 6, 4, 9, 1, 3, 5]"
10,26.000022888183594,8,"[0, 4, 1, 2, 9, 5, 6, 7, 3, 8]"
10,17.000198364257812,9,"[0, 4, 6, 9, 7, 8, 3, 5, 2, 1]"
10,119.00019645690918,14,"[0, 1, 2, 5, 9, 4, 8, 7, 3, 6]"
10,83.9998722076416,15,"[0, 7, 4, 5, 9, 8, 2, 1, 3, 6]"
